trial_id,detector,shift,clutter,seed,episodes,detections,collisions,successes,stalls,collision_rate,mean_length,mean_waits,score_mean,score_max,coverage_margin
82,sharp,-0.6,dense,21,1,78,1,0,0,1.0,6.707106781,0.0,0.089643288,0.819265605,-0.819265605
83,sharp,-0.6,dense,22,1,290,0,1,0,0.0,27.67766953,0.0,0.063827497,0.790433738,-0.790433738
84,sharp,-0.6,dense,23,1,28,1,0,0,1.0,6.363961031,0.0,0.302503809,0.81184997,-0.81184997
85,sharp,-0.6,dense,24,1,61,1,0,0,1.0,7.449747468,0.0,0.013628646,0.12496833,-0.12496833
86,sharp,-0.6,dense,25,1,264,0,1,0,0.0,27.384776311,0.0,0.067143357,0.893665082,-0.893665082
87,sharp,-0.6,dense,26,1,320,0,1,0,0.0,28.970562748,0.0,0.063854408,0.760880656,-0.760880656
88,sharp,-0.6,dense,27,1,58,1,0,0,1.0,9.192388155,0.0,0.282668733,1.016089393,-1.016089393
89,sharp,-0.6,dense,28,1,38,1,0,0,1.0,4.414213562,0.0,0.088799995,0.833581208,-0.833581208
90,sharp,-0.6,dense,29,1,154,1,0,0,1.0,13.606601718,0.0,0.117644265,0.922528432,-0.922528432
64,sharp,-0.6,dense,3,1,57,1,0,0,1.0,5.035533906,0.0,0.318708121,0.856623502,-0.856623502
65,sharp,-0.6,dense,4,1,160,1,0,0,1.0,17.849242405,0.0,0.127919401,1.003291127,-1.003291127
66,sharp,-0.6,dense,5,1,140,1,0,0,1.0,14.727922061,0.0,0.008379362,0.090414473,-0.090414473
67,sharp,-0.6,dense,6,1,40,1,0,0,1.0,6.863961031,0.0,0.074174995,0.396574666,-0.396574666
68,sharp,-0.6,dense,7,1,108,1,0,0,1.0,11.813708499,0.0,0.044752586,0.652039643,-0.652039643
69,sharp,-0.6,dense,8,1,331,0,1,0,0.0,28.556349186,0.0,0.0121236,0.124578883,-0.124578883
70,sharp,-0.6,dense,9,1,46,1,0,0,1.0,4.035533906,0.0,0.051972305,0.794148445,-0.794148445
31,sharp,-0.6,nominal,0,1,221,0,1,0,0.0,26.798989873,0.0,0.013762934,0.141085754,-0.141085754
32,sharp,-0.6,nominal,1,1,63,1,0,0,1.0,9.985281374,0.0,0.20946567,0.82286743,-0.82286743
41,sharp,-0.6,nominal,10,1,220,0,1,0,0.0,25.920310217,0.0,0.065012938,0.757417759,-0.757417759
42,sharp,-0.6,nominal,11,1,112,1,0,0,1.0,20.056349186,0.0,0.210967721,0.922450729,-0.922450729
43,sharp,-0.6,nominal,12,1,15,1,0,0,1.0,4.949747468,0.0,0.230066377,0.551147159,-0.551147159
44,sharp,-0.6,nominal,13,1,175,1,0,0,1.0,22.142135624,0.0,0.192647189,0.966467026,-0.966467026
45,sharp,-0.6,nominal,14,1,233,0,1,0,0.0,26.506096654,0.0,0.086780126,0.866959678,-0.866959678
46,sharp,-0.6,nominal,15,1,23,1,0,0,1.0,5.656854249,0.0,-0.002190535,0.053197026,-0.053197026
47,sharp,-0.6,nominal,16,1,144,0,1,0,0.0,27.384776311,0.0,0.210456953,0.788697829,-0.788697829
48,sharp,-0.6,nominal,17,1,94,1,0,0,1.0,13.52081528,0.0,0.07855942,0.688741281,-0.688741281
49,sharp,-0.6,nominal,18,1,132,1,0,0,1.0,14.192388155,0.0,0.081039487,0.803156828,-0.803156828
50,sharp,-0.6,nominal,19,1,51,1,0,0,1.0,6.328427125,0.0,0.118071332,0.692896256,-0.692896256
33,sharp,-0.6,nominal,2,1,53,1,0,0,1.0,9.899494937,0.0,0.132337511,0.791145524,-0.791145524
51,sharp,-0.6,nominal,20,1,88,1,0,0,1.0,15.727922061,0.0,0.126396862,1.06107145,-1.06107145
52,sharp,-0.6,nominal,21,1,172,1,0,0,1.0,18.899494937,0.0,0.048574633,0.643942968,-0.643942968
53,sharp,-0.6,nominal,22,1,82,1,0,0,1.0,13.778174593,0.0,0.093265492,0.546815966,-0.546815966
54,sharp,-0.6,nominal,23,1,203,0,1,0,0.0,27.67766953,0.0,0.102364298,0.924813062,-0.924813062
55,sharp,-0.6,nominal,24,1,105,1,0,0,1.0,14.399494937,0.0,0.008348551,0.074329229,-0.074329229
56,sharp,-0.6,nominal,25,1,120,0,1,0,0.0,26.798989873,0.0,0.001775595,0.128804647,-0.128804647
57,sharp,-0.6,nominal,26,1,111,1,0,0,1.0,17.813708499,0.0,0.104076271,0.949567094,-0.949567094
58,sharp,-0.6,nominal,27,1,46,1,0,0,1.0,8.485281374,0.0,0.144690035,0.712637469,-0.712637469
59,sharp,-0.6,nominal,28,1,178,0,1,0,0.0,26.213203436,0.0,0.003323895,0.089009441,-0.089009441
60,sharp,-0.6,nominal,29,1,132,0,1,0,0.0,25.920310217,0.0,0.010382156,0.131907567,-0.131907567
