t,x,y,z,roll,pitch,yaw,v
4.400000,-17.002472,-5.916274,0.224396,-0.091431,-0.008764,-0.525500,0.377608
4.416667,-16.996666,-5.916773,0.224923,-0.094606,-0.009280,-0.533125,0.349641
4.433333,-16.989853,-5.916472,0.224217,-0.091700,-0.008628,-0.539602,0.409180
4.450000,-16.983011,-5.916963,0.224189,-0.090472,-0.007492,-0.545946,0.411554
4.466667,-16.976801,-5.917184,0.225205,-0.090852,-0.005893,-0.554268,0.372856
4.483333,-16.970886,-5.918195,0.226528,-0.093867,-0.005049,-0.562657,0.360022
4.500000,-16.964994,-5.918604,0.227736,-0.095692,-0.003934,-0.571493,0.354361
4.516667,-16.958956,-5.918590,0.228772,-0.095708,-0.001758,-0.579432,0.362321
4.533333,-16.952944,-5.917786,0.229527,-0.094413,0.001091,-0.588648,0.363929
4.550000,-16.946638,-5.917110,0.230040,-0.093233,0.002717,-0.598000,0.380508
4.566667,-16.940342,-5.917742,0.230979,-0.094368,0.003574,-0.605376,0.379670
4.583333,-16.933493,-5.917950,0.229921,-0.093553,0.001892,-0.614831,0.411146
4.600000,-16.926653,-5.918033,0.229364,-0.092116,0.001510,-0.623536,0.410415
4.616667,-16.919785,-5.918257,0.229044,-0.091573,0.000900,-0.632549,0.412321
4.633333,-16.912846,-5.919322,0.228810,-0.092477,-0.000203,-0.640927,0.421218
4.650000,-16.905685,-5.920218,0.228383,-0.092796,-0.001400,-0.649432,0.432962
4.666667,-16.899172,-5.920101,0.228287,-0.092274,-0.000896,-0.659520,0.390879
4.683333,-16.892801,-5.919530,0.228211,-0.091257,0.000794,-0.669760,0.383764
4.700000,-16.886206,-5.919919,0.227429,-0.090687,-0.000081,-0.679652,0.396425
4.716667,-16.879969,-5.919276,0.226927,-0.088122,0.000667,-0.690371,0.376207
4.733333,-16.873714,-5.918759,0.226637,-0.085263,0.002564,-0.699880,0.376531
4.750000,-16.867828,-5.918377,0.226535,-0.083686,0.004391,-0.710029,0.353909
4.766667,-16.861784,-5.917500,0.226606,-0.080024,0.007922,-0.719736,0.366460
4.783333,-16.856016,-5.919668,0.227062,-0.083807,0.008560,-0.727904,0.369703
4.800000,-16.849413,-5.921635,0.227185,-0.083880,0.008791,-0.734269,0.413398
4.816667,-16.842657,-5.922877,0.226103,-0.082649,0.008293,-0.742263,0.412144
4.833333,-16.836624,-5.924479,0.226337,-0.084120,0.009181,-0.750195,0.374524
4.850000,-16.828962,-5.924974,0.224006,-0.078035,0.009147,-0.758295,0.460669
4.866667,-16.821369,-5.925565,0.222361,-0.072769,0.009154,-0.766968,0.456966
4.883333,-16.814415,-5.927197,0.221364,-0.070999,0.009348,-0.775070,0.428584
4.900000,-16.807432,-5.928827,0.220470,-0.068256,0.010775,-0.782559,0.430229
4.916667,-16.800495,-5.931727,0.219615,-0.066811,0.012261,-0.787854,0.451142
4.933333,-16.793922,-5.935535,0.219835,-0.068235,0.013594,-0.793522,0.455756
4.950000,-16.786615,-5.938821,0.218967,-0.065235,0.015681,-0.798042,0.480724
4.966667,-16.779436,-5.942796,0.218740,-0.063308,0.017138,-0.802247,0.492372
4.983333,-16.772690,-5.947510,0.218784,-0.063067,0.019253,-0.805031,0.493805
5.000000,-16.765850,-5.952402,0.218383,-0.062376,0.019883,-0.808511,0.504528
5.016667,-16.757666,-5.958014,0.217354,-0.058779,0.019123,-0.807951,0.595434
5.033333,-16.750196,-5.963342,0.216970,-0.056678,0.019947,-0.808238,0.550475
5.050000,-16.743326,-5.968981,0.217152,-0.057167,0.020347,-0.809547,0.533309
5.066667,-16.736460,-5.974480,0.216858,-0.055940,0.021208,-0.810892,0.527816
5.083333,-16.729221,-5.981082,0.216008,-0.055897,0.020302,-0.810486,0.587811
5.100000,-16.721722,-5.986733,0.215047,-0.053734,0.020266,-0.811495,0.563423
5.116667,-16.714222,-5.992269,0.214359,-0.051578,0.020788,-0.812328,0.559300
5.133333,-16.707464,-5.998847,0.214172,-0.052640,0.020737,-0.813460,0.565837
5.150000,-16.700039,-6.004421,0.213474,-0.050691,0.022356,-0.813760,0.557070
5.166667,-16.692657,-6.009758,0.213351,-0.049266,0.022192,-0.815255,0.546516
5.183333,-16.686941,-6.016755,0.215813,-0.057010,0.021934,-0.815504,0.542138
