env,coverage,sigma,policy,alpha,run,found,nominal_length,min_clearance,planner_cost,nodes,plan_time,realized_mean,realized_p95,realized_max,over_budget,hazard_rate
easy,0.08,0.01,neutral,0.0,41,1,79.65346942860467,0.7439779449446018,80.32783412920074,1305,0.4898268649703823,80.38263394701148,82.78419300619584,85.91225850535533,0.0,0.5875
easy,0.08,0.01,neutral,0.0,42,1,79.80719905099471,0.4442532421589078,80.15585172840117,1332,0.34736176702426746,80.15941509791273,81.85592834612555,86.91375157953316,0.0,0.3625
easy,0.08,0.01,neutral,0.0,43,1,80.30070907163771,0.6553454965890504,80.75247902793458,1372,0.34366143302759156,80.77052133733677,82.75031976030303,84.67365158729766,0.0,0.4875
easy,0.08,0.01,neutral,0.0,44,1,79.50814676769099,1.0836287227025136,80.14635562659545,1330,0.3870422109612264,80.10687588099844,81.96379785789689,85.09890273866223,0.0,0.5875
easy,0.08,0.01,neutral,0.0,45,1,79.8136935547784,0.38533813889614743,80.6444390257513,1330,0.3606983959907666,80.50740750594431,82.61390863843489,87.56840558542842,0.0,0.6125
easy,0.08,0.01,neutral,0.0,46,1,79.74377634884918,0.07117541441157771,80.30686584622175,1342,0.3790301369735971,80.37339210519684,82.54360098628868,85.87651289076688,0.0,0.5875
easy,0.08,0.01,neutral,0.0,47,1,81.22049256359497,1.7477151663817323,81.64647950692006,1297,0.37561468000058085,81.6073316457073,83.28877242614065,87.7588510570813,0.0,0.38
easy,0.08,0.01,neutral,0.0,48,1,79.72673100086492,1.347626143077846,80.26414925487916,1354,0.41979226598050445,80.31853508591347,82.60197669252398,85.98761236336874,0.0,0.475
easy,0.08,0.01,neutral,0.0,49,1,79.45738158480347,4.0,79.56234118488591,1362,0.3902731080306694,79.55033807724358,79.95898659125089,81.86355545036369,0.0,0.1025
easy,0.08,0.01,cvar0.1,0.1,0,1,80.55462728922191,0.8852771494745744,81.1744931713943,1315,0.9846057409886271,80.9062172569166,82.43312811264049,86.64970971997899,0.0,0.3075
easy,0.08,0.01,cvar0.1,0.1,1,1,79.65443436507847,0.6511637806797594,80.3178909942438,1312,1.0875564099987969,80.13088900284221,82.24074467912864,84.60814229229202,0.0,0.4625
easy,0.08,0.01,cvar0.1,0.1,2,1,79.55767984707165,0.046110385952773614,80.27515338430823,1285,0.9687644690275192,80.23557011764251,82.72975796923463,89.10297779310729,0.0,0.51
easy,0.08,0.01,cvar0.1,0.1,3,1,80.02344599645677,1.054980649883845,80.4646208042189,1313,1.0354053130140528,80.38825705892027,82.03290922401713,90.12608546182935,0.0,0.335
easy,0.08,0.01,cvar0.1,0.1,4,1,79.78423601094907,1.2328088337483698,80.2908682462686,1298,0.750838792999275,80.0694171223775,81.52998091588563,85.37813270156933,0.0,0.235
easy,0.08,0.01,cvar0.1,0.1,5,1,80.84930293032154,0.04084586820136238,81.61240179211616,1346,0.7078543130191974,81.51907623806385,83.97977783332756,87.18027098909,0.0,0.5225
easy,0.08,0.01,cvar0.1,0.1,6,1,79.98007622303273,0.8274328206846342,80.55390340599637,1296,0.6684324580128305,80.5379944315194,82.8240546750716,86.6570763442871,0.0,0.455
easy,0.08,0.01,cvar0.1,0.1,7,1,79.95965597702511,0.18238947455242704,80.80554179512158,1328,0.6643468449474312,80.79412111352808,83.11226884715447,88.53497194035607,0.0,0.66
easy,0.08,0.01,cvar0.1,0.1,8,1,81.19502084018157,1.254859226069029,82.06745009246177,1307,1.0174455259693787,81.70023734677984,83.89081682318448,88.73478329155607,0.0,0.415
easy,0.08,0.01,cvar0.1,0.1,9,1,79.79033924624115,2.671981329333182,80.14246622598651,1357,1.1322120979893953,79.91993194160605,80.8923918422735,82.98382716719944,0.0,0.1625
easy,0.08,0.01,cvar0.1,0.1,10,1,79.66744434287409,3.0568588955980234,79.9612739616058,1326,1.098499856016133,79.79241031107799,80.57021139940471,83.30689903249836,0.0,0.1725
easy,0.08,0.01,cvar0.1,0.1,11,1,79.55579648031016,1.2356164450569989,80.01484880864993,1362,1.1250618129852228,79.87264373935142,81.182287189193,84.48968156630889,0.0,0.3375
easy,0.08,0.01,cvar0.1,0.1,12,1,82.10106581513328,0.23970655600324386,83.3054332267867,1326,0.6276778629980981,83.11711143841076,86.1142250736389,89.72133173741607,0.0,0.7425
easy,0.08,0.01,cvar0.1,0.1,13,1,80.39796852842319,0.378774002229356,80.85114234636465,1347,0.7576027680188417,80.69101194271025,82.16711038650278,83.66056906215701,0.0,0.335
easy,0.08,0.01,cvar0.1,0.1,14,1,81.76357911299432,0.028753703203512337,82.96968269814786,1287,0.5790920250001363,82.63376265790397,84.8919708946844,87.17168259752756,0.0,0.7075
easy,0.08,0.01,cvar0.1,0.1,15,1,80.11539917870986,0.32457642492403593,80.69062036172247,1361,0.6476440639817156,80.57879237855778,82.55230372886928,87.05209836147743,0.0,0.435
easy,0.08,0.01,cvar0.1,0.1,16,1,79.56495476972839,0.362854915372095,80.28129704114563,1331,0.8464895529905334,80.08132781120445,82.28611140670385,84.31507786217765,0.0,0.465
easy,0.08,0.01,cvar0.1,0.1,17,1,79.65904658113998,0.950610403892409,80.39021184716206,1325,0.7276444000308402,80.10080338009844,82.0384124546814,86.08634652992464,0.0,0.415
easy,0.08,0.01,cvar0.1,0.1,18,1,80.13967432241891,0.3369767283740295,80.72053346562056,1319,0.793644174002111,80.58296645536883,82.12130602044246,87.57475988376514,0.0,0.4375
easy,0.08,0.01,cvar0.1,0.1,19,1,80.12502861775927,0.3461168973041042,80.75303211317673,1321,0.7106780410395004,80.49474496223712,82.0014480174773,84.38424857430566,0.0,0.445
easy,0.08,0.01,cvar0.1,0.1,20,1,80.12498918349844,0.7227254413486079,80.76558102656135,1292,0.7072832540143281,80.53021792797757,82.21765475651522,83.97381577506901,0.0,0.405
easy,0.08,0.01,cvar0.1,0.1,21,1,79.92500874448127,0.9020627336770146,80.53465989394174,1319,0.7426770650199614,80.31920587074838,82.01564109785461,84.6218437364331,0.0,0.3725
easy,0.08,0.01,cvar0.1,0.1,22,1,80.94046161245834,0.744048620224548,81.45731530741315,1288,0.7735894459765404,81.2457780029624,82.92742306016139,88.5449688857687,0.0,0.2775
easy,0.08,0.01,cvar0.1,0.1,23,1,80.70340054057287,0.22693809330170245,81.79318521441404,1300,0.712832443008665,81.55745830734708,84.22558767112824,89.77883710445799,0.0,0.655
easy,0.08,0.01,cvar0.1,0.1,24,1,81.09353207065797,0.39511103023014327,81.95073549669944,1320,0.6403344769496471,81.81662981950056,84.0141560546625,88.2083478423124,0.0,0.57
