design,environment,experiment_id,trial_id,state,wall_seconds,clutter,visibility,seed,n_draws,n_rocks,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc,path_length,detection_rate,stall_rate,replans,cost,power,ram
design-512,c0.8-v0.4-s3,127,127,TrialState.SUCCESSFUL|SHUT_DOWN,1.000483,0.8,0.4,3,12,46,1.0,0.0,47.179702,1.308278,12.812019,0.921367,47.179702,0.976449,0.0,12,16000.0,100.000003,139.968
design-512,c0.8-v1.0-s1,122,122,TrialState.SUCCESSFUL|SHUT_DOWN,1.001846,0.8,1.0,1,12,46,1.0,0.0,43.748737,1.213138,13.171122,0.927085,43.748737,0.972826,0.0,10,16000.0,100.000003,139.968
design-512,c0.8-v1.0-s2,123,123,TrialState.SUCCESSFUL|SHUT_DOWN,1.00124,0.8,1.0,2,12,44,0.25,0.75,101.101398,2.803509,12.789347,0.831498,101.101398,0.441288,0.0,11,16000.0,100.000003,139.968
design-512,c0.8-v1.0-s3,124,124,TrialState.SUCCESSFUL|SHUT_DOWN,1.002446,0.8,1.0,3,12,46,1.0,0.0,47.179702,1.308278,12.812019,0.921367,47.179702,0.976449,0.0,12,16000.0,100.000003,139.968
design-549,c0.2-v0.4-s1,41,41,TrialState.SUCCESSFUL|SHUT_DOWN,1.001349,0.2,0.4,1,12,21,1.0,0.0,37.234019,1.032487,16.852239,0.896986,37.234019,0.97619,0.0,7,24000.0,166.00017,6232.968
design-549,c0.2-v0.4-s2,42,42,TrialState.SUCCESSFUL|SHUT_DOWN,1.001969,0.2,0.4,2,12,21,1.0,0.0,39.814601,1.104046,16.709,0.889846,39.814601,1.0,0.0,8,24000.0,166.00017,6232.968
design-549,c0.2-v0.4-s3,43,43,TrialState.SUCCESSFUL|SHUT_DOWN,1.001273,0.2,0.4,3,12,21,1.0,0.0,37.234019,1.032487,16.618174,0.896986,37.234019,0.988095,0.0,8,24000.0,166.00017,6232.968
design-549,c0.2-v1.0-s1,38,38,TrialState.SUCCESSFUL|SHUT_DOWN,1.00133,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,18.776433,0.896986,37.234019,0.980159,0.0,7,24000.0,166.00017,6232.968
design-549,c0.2-v1.0-s2,39,39,TrialState.SUCCESSFUL|SHUT_DOWN,1.001341,0.2,1.0,2,12,21,1.0,0.0,39.461048,1.094242,18.66738,0.890824,39.461048,1.0,0.0,7,24000.0,166.00017,6232.968
design-549,c0.2-v1.0-s3,40,40,TrialState.SUCCESSFUL|SHUT_DOWN,1.000969,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,18.425722,0.896986,37.234019,0.988095,0.0,8,24000.0,166.00017,6232.968
design-549,c0.5-v0.4-s1,47,47,TrialState.SUCCESSFUL|SHUT_DOWN,1.001143,0.5,0.4,1,12,34,1.0,0.0,37.234019,1.032487,16.925901,0.896986,37.234019,0.985294,0.0,7,24000.0,166.00017,6232.968
design-549,c0.5-v0.4-s2,48,48,TrialState.SUCCESSFUL|SHUT_DOWN,1.001443,0.5,0.4,2,12,34,1.0,0.0,38.991378,1.081218,15.791657,0.892124,38.991378,0.992647,0.0,8,24000.0,166.00017,6232.968
design-549,c0.5-v0.4-s3,49,49,TrialState.SUCCESSFUL|SHUT_DOWN,1.00152,0.5,0.4,3,12,34,1.0,0.0,37.819805,1.048731,16.720412,0.895365,37.819805,0.973039,0.0,8,24000.0,166.00017,6232.968
design-549,c0.5-v1.0-s1,44,44,TrialState.SUCCESSFUL|SHUT_DOWN,1.001096,0.5,1.0,1,12,34,1.0,0.0,37.234019,1.032487,18.975381,0.896986,37.234019,0.985294,0.0,7,24000.0,166.00017,6232.968
design-549,c0.5-v1.0-s2,45,45,TrialState.SUCCESSFUL|SHUT_DOWN,1.000981,0.5,1.0,2,12,34,1.0,0.0,38.991378,1.081218,17.966134,0.892124,38.991378,0.995098,0.0,8,24000.0,166.00017,6232.968
design-549,c0.5-v1.0-s3,46,46,TrialState.SUCCESSFUL|SHUT_DOWN,1.00231,0.5,1.0,3,12,34,1.0,0.0,37.819805,1.048731,18.452596,0.895365,37.819805,0.973039,0.0,8,24000.0,166.00017,6232.968
