obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.05,10.0,0.6,0.5,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.461213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.6,0.5,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794715,3.238603,7.90144,0.461213,0.0,0.161498,1.0,0.203311,0.794715,1,0,1,0,0
0.05,10.0,0.6,0.5,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794653,3.238603,7.90144,0.461213,0.0,0.161498,1.0,0.203311,0.794653,1,0,1,0,0
0.05,10.0,0.7,0.6,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.561213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.7,0.6,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794716,3.238603,7.90144,0.561213,0.0,0.161498,1.0,0.203311,0.794716,1,0,1,0,0
0.05,10.0,0.7,0.6,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794664,3.238603,7.90144,0.561213,0.0,0.161498,1.0,0.203311,0.794664,1,0,1,0,0
0.05,10.0,0.8,0.7,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.661213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.8,0.7,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794717,3.238603,7.90144,0.661213,0.0,0.161498,1.0,0.203311,0.794717,1,0,1,0,0
0.05,10.0,0.8,0.7,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794673,3.238603,7.90144,0.661213,0.0,0.161498,1.0,0.203311,0.794673,1,0,1,0,0
0.05,10.0,0.9,0.8,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.761213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.9,0.8,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794718,3.238603,7.90144,0.761213,0.0,0.161498,1.0,0.203311,0.794718,1,0,1,0,0
0.05,10.0,0.9,0.8,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794679,3.238603,7.90144,0.761213,0.0,0.161498,1.0,0.203311,0.794679,1,0,1,0,0
0.05,10.0,1.0,0.9,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.861213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,1.0,0.9,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794718,3.238603,7.90144,0.861213,0.0,0.161498,1.0,0.203311,0.794718,1,0,1,0,0
0.05,10.0,1.0,0.9,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794684,3.238603,7.90144,0.861213,0.0,0.161498,1.0,0.203311,0.794684,1,0,1,0,0
0.05,12.5,0.3,0.2,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.125504,0.007655,0.202395,1.0,0.219495,0.788639,1,0,1,0,0
0.05,12.5,0.3,0.2,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794703,4.058731,9.898225,0.125504,0.007655,0.202395,1.0,0.219495,0.788619,1,0,1,0,0
0.05,12.5,0.3,0.2,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794548,4.058731,9.898225,0.125504,0.007655,0.202395,1.0,0.219495,0.788466,1,0,1,0,0
0.05,12.5,0.4,0.3,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.225504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.4,0.3,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.79471,4.058731,9.898225,0.225504,0.0,0.202395,1.0,0.216943,0.79471,1,0,1,0,0
0.05,12.5,0.4,0.3,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794606,4.058731,9.898225,0.225504,0.0,0.202395,1.0,0.216943,0.794606,1,0,1,0,0
0.05,12.5,0.5,0.4,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.325504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.5,0.4,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794713,4.058731,9.898225,0.325504,0.0,0.202395,1.0,0.216943,0.794713,1,0,1,0,0
0.05,12.5,0.5,0.4,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794635,4.058731,9.898225,0.325504,0.0,0.202395,1.0,0.216943,0.794635,1,0,1,0,0
0.05,12.5,0.6,0.5,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.425504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.6,0.5,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794715,4.058731,9.898225,0.425504,0.0,0.202395,1.0,0.216943,0.794715,1,0,1,0,0
0.05,12.5,0.6,0.5,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794653,4.058731,9.898225,0.425504,0.0,0.202395,1.0,0.216943,0.794653,1,0,1,0,0
0.05,12.5,0.7,0.6,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.525504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.7,0.6,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794716,4.058731,9.898225,0.525504,0.0,0.202395,1.0,0.216943,0.794716,1,0,1,0,0
0.05,12.5,0.7,0.6,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794664,4.058731,9.898225,0.525504,0.0,0.202395,1.0,0.216943,0.794664,1,0,1,0,0
0.05,12.5,0.8,0.7,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.625504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.8,0.7,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794717,4.058731,9.898225,0.625504,0.0,0.202395,1.0,0.216943,0.794717,1,0,1,0,0
0.05,12.5,0.8,0.7,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794673,4.058731,9.898225,0.625504,0.0,0.202395,1.0,0.216943,0.794673,1,0,1,0,0
0.05,12.5,0.9,0.8,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.725504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
0.05,12.5,0.9,0.8,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794718,4.058731,9.898225,0.725504,0.0,0.202395,1.0,0.216943,0.794718,1,0,1,0,0
0.05,12.5,0.9,0.8,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794679,4.058731,9.898225,0.725504,0.0,0.202395,1.0,0.216943,0.794679,1,0,1,0,0
0.05,12.5,1.0,0.9,0.0,0.176271,0.014691,0.033055,0.448434,37.611737,0.794723,4.058731,9.898225,0.825504,0.0,0.202395,1.0,0.216943,0.794723,1,0,1,0,0
