episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
75.0000,0.0000,4.0000,1.2500,1.2500,9.0924,8.4716,3.7720,10.5780,6.2647,8.5118,3.8465,10.5771,6.2383
75.0000,0.0000,5.0000,1.2500,1.2500,6.1887,2.5553,6.2579,4.4241,7.7804,2.6874,6.2866,4.4275,7.7461
76.0000,0.0000,1.0000,1.2500,1.2500,8.7988,5.1358,7.4300,8.1811,8.9505,5.4281,7.6857,8.2955,9.1472
76.0000,0.0000,2.0000,1.2500,1.2500,9.6360,3.3257,8.9086,5.5715,11.7708,3.4477,8.9782,5.5689,11.6578
76.0000,0.0000,5.0000,1.2500,1.2500,9.9389,9.0053,4.4030,11.5983,6.3062,9.2033,4.4332,11.6047,6.2772
77.0000,0.0000,1.0000,1.2500,1.2500,7.6004,3.3758,7.2781,5.1031,9.1975,3.3853,7.2311,5.0420,9.0170
77.0000,0.0000,6.0000,1.2500,1.2500,4.8787,4.2801,3.0548,5.6954,5.7162,4.3415,3.2209,5.7062,5.7344
79.0000,0.0000,2.0000,1.2500,1.2500,7.4512,5.7987,4.4386,8.8666,6.6687,6.0864,4.8720,8.0494,6.0096
80.0000,0.0000,3.0000,1.2500,1.2500,7.6855,5.9817,4.8283,9.0269,6.6052,6.9041,5.3834,8.2664,6.0327
80.0000,0.0000,4.0000,1.2500,1.2500,5.1191,4.1817,3.8153,6.0514,5.3944,4.0564,3.8283,5.8979,5.2427
80.0000,0.0000,6.0000,1.2500,1.2500,6.0079,3.2974,4.5283,6.4136,7.5831,3.4632,4.6081,6.4480,7.3726
81.0000,0.0000,2.0000,1.2500,1.2500,4.6152,4.0702,1.8167,6.8838,4.3888,4.1282,1.8676,6.7584,4.2500
81.0000,0.0000,3.0000,1.2500,1.2500,8.1119,6.3817,4.7835,9.4421,6.9732,7.1921,5.3633,8.3821,6.4238
81.0000,0.0000,5.0000,1.2500,1.2500,4.8807,4.4538,1.9462,6.9511,4.5521,4.5654,2.0416,6.9671,4.5456
83.0000,0.0000,2.0000,1.2500,1.2500,4.0502,2.5136,3.9335,4.1514,5.5140,2.4510,3.9737,4.0303,5.4866
83.0000,0.0000,3.0000,1.2500,1.2500,6.5198,4.8725,4.4922,7.8037,6.1611,4.9021,4.5680,7.7301,6.1377
83.0000,0.0000,4.0000,1.2500,1.2500,9.9272,9.0651,4.0888,11.2443,7.1874,8.9018,4.1830,10.9905,7.0818
83.0000,0.0000,6.0000,1.2500,1.2500,5.9174,2.2863,5.9663,5.2167,7.2591,2.3729,6.1590,5.1371,7.3891
84.0000,0.0000,1.0000,1.2500,1.2500,9.3871,5.4007,8.4082,7.4935,9.7261,5.3698,8.4636,7.3513,9.6731
84.0000,0.0000,2.0000,1.2500,1.2500,6.9047,6.9627,1.9974,8.6509,4.8307,7.5238,2.4534,8.3550,4.1551
85.0000,0.0000,0.0000,1.2500,1.2500,9.6618,8.8668,4.8871,10.9372,6.2139,9.5264,5.1731,10.5915,5.8915
